Image,Index,PortraitTrans,,,,,,,,,,,,,LandscapeTrans,,,,,,,,,,,,,
,,Det,SubDet,projcoeff1,projcoeff2,projcoeff3,projcoeff4,projcoeff5,projcoeff6,projcoeff7,projcoeff8,projcoeff9,projscalex,projscaley,Det,SubDet,projcoeff1,projcoeff2,projcoeff3,projcoeff4,projcoeff5,projcoeff6,projcoeff7,projcoeff8,projcoeff9,projscalex,projscaley,
IMG_0363.JPG,0,0.0005065,-44.2471585,1.2344952,-0.0285513,204.0000000,0.0044151,1.2171474,169.0000000,0.0000010,-0.0000144,1.0000000,7.8740157,7.8740157,-0.0005632,-147.2217364,0.8729607,-0.0403758,204.0000000,0.0031221,1.7212260,169.0000000,0.0000007,-0.0000204,1.0000000,7.8740157,7.8740157,
IMG_0364.JPG,0,-0.0003034,27.7624615,0.9570029,-0.0345208,912.0000000,0.0054575,0.9695601,121.0000000,-0.0000105,-0.0000055,1.0000000,7.6531987,7.6531987,0.0022320,-338.8201062,0.6765964,-0.0488274,912.0000000,0.0038584,1.3713816,121.0000000,-0.0000074,-0.0000077,1.0000000,7.6531987,7.6531987,
IMG_0367.JPG,0,-0.0012957,53.3023107,1.5626111,0.0080434,249.0000000,0.0114765,0.7854497,342.0000000,0.0000033,0.0000078,1.0000000,7.8740157,7.8740157,-0.0004308,-27.5630766,1.1049845,0.0113745,249.0000000,0.0081155,1.1107418,342.0000000,0.0000024,0.0000111,1.0000000,7.8740157,7.8740157,
IMG_0368.JPG,0,-0.0000483,-11.8453557,1.0247944,0.0196467,639.0000000,0.0130387,1.0185381,105.0000000,0.0000113,0.0000110,1.0000000,7.3619048,7.3619048,-0.0016950,-281.3986143,0.7247631,0.0277799,639.0000000,0.0092213,1.4401838,105.0000000,0.0000080,0.0000155,1.0000000,7.3619048,7.3619048,
IMG_0369.JPG,0,-0.0000637,-37.1605795,1.1816628,-0.0026627,247.0000000,0.0112273,1.1505584,203.0000000,0.0000099,-0.0000091,1.0000000,7.8740157,7.8740157,-0.0015437,-154.9867453,0.8356008,-0.0037655,247.0000000,0.0079393,1.6270593,203.0000000,0.0000070,-0.0000128,1.0000000,7.8740157,7.8740157,
IMG_0370.JPG,0,-0.0000610,-43.8365135,1.1746259,0.0050458,212.0000000,-0.0111175,1.2069465,226.0000000,-0.0000097,0.0000114,1.0000000,7.8740157,7.8740157,0.0016068,-149.9613906,0.8306248,0.0071355,212.0000000,-0.0078617,1.7068004,226.0000000,-0.0000069,0.0000161,1.0000000,7.8740157,7.8740157,
IMG_0371.JPG,0,0.0000106,6.5371630,1.0031621,-0.0079623,643.0000000,0.0088139,0.9898333,81.0000000,0.0000055,-0.0000040,1.0000000,7.4619048,7.4619048,-0.0011621,-257.1810142,0.7093660,-0.0112600,643.0000000,0.0062326,1.3997898,81.0000000,0.0000039,-0.0000057,1.0000000,7.4619048,7.4619048,
IMG_0372.JPG,0,0.0004644,-33.7003612,1.1649360,-0.0168301,265.0000000,0.0108196,1.1272504,313.0000000,0.0000072,-0.0000153,1.0000000,7.8740157,7.8740157,-0.0020759,-157.5407521,0.8237726,-0.0238003,265.0000000,0.0076510,1.5940983,313.0000000,0.0000051,-0.0000216,1.0000000,7.8740157,7.8740157,
IMG_0373.JPG,0,-0.0003102,-34.6056730,1.1987269,-0.0163519,222.0000000,0.0251335,1.1560211,205.0000000,0.0000192,-0.0000119,1.0000000,7.8740157,7.8740157,-0.0025631,-141.0188211,0.8476675,-0.0231241,222.0000000,0.0177729,1.6347843,205.0000000,0.0000135,-0.0000168,1.0000000,7.8740157,7.8740157,
00000_P_4X_R_0317_01.jpg,0,0.0386558,-31.9410377,2.4153312,-0.0835693,336.0000000,-0.0207115,1.0954647,410.0000000,-0.0000126,-0.0000644,1.0000000,7.8740157,7.8740157,0.0290893,-182.1229971,1.7145742,-0.1177247,336.0000000,-0.0147025,1.5431879,410.0000000,-0.0000089,-0.0000907,1.0000000,7.8740157,7.8740157,
00004_M_4X_R_0317_02.jpg,0,0.0079371,-85.9022689,2.6433324,-0.0423052,357.0000000,0.0369104,1.2417354,256.0000000,0.0000238,-0.0000251,1.0000000,7.8740157,7.8740157,0.0028439,-266.8221148,1.8764257,-0.0595956,357.0000000,0.0262016,1.7492402,256.0000000,0.0000169,-0.0000354,1.0000000,7.8740157,7.8740157,
10004_P_4X_R_0317_03.jpg,0,-0.0095080,-93.2476959,2.6762921,0.0125172,289.0000000,-0.0185686,1.3245388,365.0000000,-0.0000047,0.0000161,1.0000000,7.8740157,7.8740157,-0.0067175,-249.4619095,1.8998228,0.0176331,289.0000000,-0.0131813,1.8658860,365.0000000,-0.0000033,0.0000227,1.0000000,7.8740157,7.8740157,
10004_P_4X_R_0317_04.jpg,0,0.0058175,-64.5874293,2.4974518,-0.0267043,372.0000000,0.0488548,1.1743238,275.0000000,0.0000412,-0.0000223,1.0000000,7.8740157,7.8740157,-0.0011451,-242.8854641,1.7728692,-0.0376185,372.0000000,0.0346806,1.6542772,275.0000000,0.0000293,-0.0000315,1.0000000,7.8740157,7.8740157,
10017_M_4X_R_0317_06.jpg,0,0.0000124,-67.1961739,3.0905027,-0.0215071,149.0000000,0.0930985,1.4573984,179.0000000,0.0000699,-0.0000140,1.0000000,7.8740157,7.8740157,-0.0040346,-155.6466893,2.1938590,-0.0302972,149.0000000,0.0660879,2.0530462,179.0000000,0.0000496,-0.0000197,1.0000000,7.8740157,7.8740157,
10017_M_4X_R_0317_07.jpg,0,0.0034178,-84.6191213,2.8730368,-0.0280011,241.0000000,0.0607318,1.3538669,260.0000000,0.0000581,-0.0000186,1.0000000,7.8740157,7.8740157,-0.0026244,-217.6923402,2.0394862,-0.0394453,241.0000000,0.0431118,1.9072007,260.0000000,0.0000413,-0.0000262,1.0000000,7.8740157,7.8740157,
10017_P_4X_R_0317_05.jpg,0,0.0027351,-57.0980750,2.9751429,-0.0274408,146.0000000,0.0800605,1.3964460,184.0000000,0.0000783,-0.0000218,1.0000000,7.8740157,7.8740157,-0.0022178,-140.1331046,2.1119684,-0.0386560,146.0000000,0.0568326,1.9671821,184.0000000,0.0000556,-0.0000307,1.0000000,7.8740157,7.8740157,
23004_P_4X_R_0317_08.jpg,0,0.0002425,-69.3507084,2.9533067,-0.0084782,179.0000000,0.0503149,1.3917086,240.0000000,0.0000567,-0.0000094,1.0000000,7.8740157,7.8740157,-0.0036256,-170.8778473,2.0964675,-0.0119433,179.0000000,0.0357171,1.9605085,240.0000000,0.0000402,-0.0000133,1.0000000,7.8740157,7.8740157,
23004_P_4X_R_0317_09.jpg,0,0.0031953,-82.9696047,2.6630284,-0.0219178,363.0000000,0.0559043,1.2296184,349.0000000,0.0000652,-0.0000163,1.0000000,7.8740157,7.8740157,-0.0060013,-265.1261332,1.8904073,-0.0308757,363.0000000,0.0396848,1.7321710,349.0000000,0.0000463,-0.0000230,1.0000000,7.8740157,7.8740157,
23004_P_4X_R_0317_10.jpg,0,0.0043396,-76.3589143,2.6333430,-0.0345189,333.0000000,0.0739916,1.2304363,293.0000000,0.0000579,-0.0000206,1.0000000,7.8740157,7.8740157,-0.0037285,-243.5591349,1.8693345,-0.0486270,333.0000000,0.0525245,1.7333232,293.0000000,0.0000411,-0.0000291,1.0000000,7.8740157,7.8740157,
30006_P_4X_R_0317_11.jpg,0,0.0003885,-38.4615749,2.6121032,-0.0022451,121.0000000,0.0226785,1.3221564,111.0000000,-0.0000555,0.0000102,1.0000000,7.8740157,7.8740157,0.0027985,-103.6292924,1.8542570,-0.0031626,121.0000000,0.0160988,1.8625299,111.0000000,-0.0000394,0.0000143,1.0000000,7.8740157,7.8740157,
30006_P_4X_R_0317_12.jpg,0,-0.0022026,-94.9735416,2.7659693,0.0173583,274.0000000,0.0003942,1.3488673,321.0000000,0.0000204,0.0000006,1.0000000,7.8740157,7.8740157,-0.0037375,-245.7759059,1.9634821,0.0244527,274.0000000,0.0002799,1.9001576,321.0000000,0.0000145,0.0000009,1.0000000,7.8740157,7.8740157,
IMG_0046.jpg,0,0.0089741,-67.1303741,2.7359522,-0.0601935,253.0000000,0.0589643,1.2671706,182.0000000,0.0000421,-0.0000408,1.0000000,7.8740157,7.8740157,0.0028495,-197.8833103,1.9421738,-0.0847949,253.0000000,0.0418571,1.7850711,182.0000000,0.0000299,-0.0000575,1.0000000,7.8740157,7.8740157,
IMG_0048.jpg,0,0.0020760,-77.5710736,2.8347696,-0.0924017,255.0000000,0.0641280,1.3064049,67.0000000,0.0000420,-0.0000527,1.0000000,7.8740157,7.8740157,-0.0024794,-213.4361772,2.0123214,-0.1301668,255.0000000,0.0455226,1.8403407,67.0000000,0.0000298,-0.0000743,1.0000000,7.8740157,7.8740157,
30006_M_4X_R_0317_13.jpg,0,-0.0014924,-87.9651740,2.8944302,-0.0213331,231.0000000,0.0665621,1.3839504,248.0000000,0.0000330,-0.0000035,1.0000000,7.8740157,7.8740157,-0.0040615,-218.3513588,2.0546728,-0.0300520,231.0000000,0.0472505,1.9495795,248.0000000,0.0000234,-0.0000050,1.0000000,7.8740157,7.8740157,
30006_M_4X_R_0317_14.jpg,0,0.0115013,-77.6768389,2.5610561,-0.0551701,370.0000000,0.0504592,1.2108269,268.0000000,0.0000188,-0.0000331,1.0000000,7.8740157,7.8740157,0.0058597,-260.5314705,1.8180201,-0.0777185,370.0000000,0.0358196,1.7056993,268.0000000,0.0000133,-0.0000467,1.0000000,7.8740157,7.8740157,
